r rdf
4.082812500000000178e+00 3.195169578307273661e-01
4.107187500000000213e+00 1.720445538270052033e-01
4.131562500000000249e+00 1.710295417100317072e-01
4.155937500000000284e+00 2.158027840187372592e-01
4.180312500000000320e+00 1.495309863997664468e-01
4.204687500000000355e+00 7.756389918354615609e-02
4.229062500000000391e+00 1.478072862683570410e-01
4.253437500000000426e+00 1.214019482206649958e-01
4.277812500000000462e+00 1.778887146517226792e-01
4.302187500000000497e+00 2.969071353307840000e-01
4.326562500000000533e+00 4.020213366133096877e-01
4.350937500000000568e+00 4.060155086813777014e-01
4.375312499999999716e+00 4.410231454273359497e-01
4.399687499999999751e+00 4.324026235647829841e-01
4.424062499999999787e+00 4.361633862490731928e-01
4.448437499999999822e+00 3.726785977894357949e-01
4.472812499999999858e+00 4.010286068141112881e-01
4.497187499999999893e+00 3.505089482074884577e-01
4.521562499999999929e+00 3.726621301743154313e-01
4.545937499999999964e+00 5.021898566441392875e-01
4.570312500000000000e+00 6.124962572194028176e-01
4.594687500000000036e+00 5.205216576508535642e-01
4.619062500000000071e+00 5.589614766360433418e-01
4.643437500000000107e+00 4.155572420168334724e-01
4.667812500000000142e+00 4.075648749527066572e-01
4.692187500000000178e+00 3.706949986953894105e-01
4.716562500000000213e+00 4.609740778350288060e-01
4.740937500000000249e+00 4.012785272670607029e-01
4.765312500000000284e+00 2.908646219382980402e-01
4.789687500000000320e+00 3.007328024960011503e-01
4.814062500000000355e+00 1.750096839173050922e-01
4.838437500000000391e+00 1.965961550464567220e-01
